LEGEND_LINE,,,,,,,,,,,,,,,,,,,,,,,,
detector_num,detector_position_x,detector_position_y,detector_position_z,detector_direction_x,detector_direction_y,detector_direction_z,detector_type,detector_status,channel_num,channel_position_x,channel_position_y,channel_position_z,channel_strip_side,channel_strip_num,channel_signal_crate,channel_signal_card,channel_signal_channel,channel_level2_crate,channel_level2_card,channel_level2_channel,channel_hv_crate,channel_hv_card,channel_hv_channel,channel_status
,,,,,,,,,,,,,,,,,,,,,,,,
DATA_START,,,,,,,,,,,,,,,,,,,,,,,,
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,4,100,-300,0,0,0,0,0,1,0,0,32669,0,0,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,3,100,-290,0,0,1,0,0,2,0,0,32669,0,0,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,2,100,-280,0,0,2,0,0,3,0,0,32669,0,0,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,1,100,-270,0,0,3,0,0,4,0,0,32669,0,1,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,0,100,-260,0,0,4,0,0,5,0,0,32669,0,1,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,11,100,-250,0,0,5,0,0,6,0,0,32669,0,1,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,10,100,-240,0,0,6,0,0,7,0,0,32669,0,1,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,9,100,-230,0,0,7,0,0,8,0,0,32669,0,2,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,8,100,-220,0,0,8,0,0,9,0,0,32669,0,2,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,7,100,-210,0,0,9,0,0,10,0,0,32669,0,2,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,6,100,-200,0,0,10,0,0,11,0,0,32669,0,2,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,17,100,-190,0,0,11,0,0,12,0,0,32669,0,3,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,16,100,-180,0,0,12,0,0,13,0,0,32669,0,3,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,15,100,-170,0,0,13,0,0,14,0,0,32669,0,3,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,14,100,-160,0,0,14,0,0,15,0,0,32669,0,3,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,43,100,-150,0,0,15,0,0,16,0,0,32669,0,4,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,42,100,-140,0,0,16,0,0,17,0,0,32669,0,4,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,53,100,-130,0,0,17,0,0,18,0,0,32669,0,4,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,52,100,-120,0,0,18,0,0,19,0,0,32669,0,4,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,51,100,-110,0,0,19,0,0,20,0,0,32669,0,5,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,50,100,-100,0,0,20,0,0,21,0,0,32669,0,5,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,49,100,-90,0,0,21,0,0,22,0,0,32669,0,5,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,48,100,-80,0,0,22,0,0,23,0,0,32669,0,5,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,59,100,-70,0,0,23,0,0,24,0,0,32669,0,6,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,58,100,-60,0,0,24,0,0,25,0,0,32669,0,6,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,57,100,-50,0,0,25,0,0,26,0,0,32669,0,6,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,56,100,-40,0,0,26,0,0,27,0,0,32669,0,6,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,55,100,-30,0,0,27,0,0,28,0,0,32669,0,7,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,54,100,-20,0,0,28,0,0,29,0,0,32669,0,7,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,34,100,-10,0,0,29,0,1,0,0,0,32669,0,7,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,5,-100,-300,0,1,0,0,1,1,0,0,32669,0,7,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,24,-100,-290,0,1,1,0,1,2,0,0,32669,0,8,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,25,-100,-280,0,1,2,0,1,3,0,0,32669,0,8,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,26,-100,-270,0,1,3,0,1,4,0,0,32669,0,8,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,27,-100,-260,0,1,4,0,1,5,0,0,32669,0,8,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,28,-100,-250,0,1,5,0,1,6,0,0,32669,0,9,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,29,-100,-240,0,1,6,0,1,7,0,0,32669,0,9,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,18,-100,-230,0,1,7,0,1,8,0,0,32669,0,9,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,19,-100,-220,0,1,8,0,1,9,0,0,32669,0,9,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,20,-100,-210,0,1,9,0,1,10,0,0,32669,1,0,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,21,-100,-200,0,1,10,0,1,11,0,0,32669,1,0,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,22,-100,-190,0,1,11,0,1,12,0,0,32669,1,0,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,23,-100,-180,0,1,12,0,1,13,0,0,32669,1,0,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,12,-100,-170,0,1,13,0,1,14,0,0,32669,1,1,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,13,-100,-160,0,1,14,0,1,15,0,0,32669,1,1,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,44,-100,-150,0,1,15,0,1,16,0,0,32669,1,1,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,45,-100,-140,0,1,16,0,1,17,0,0,32669,1,1,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,46,-100,-130,0,1,17,0,1,18,0,0,32669,1,2,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,47,-100,-120,0,1,18,0,1,19,0,0,32669,1,2,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,36,-100,-110,0,1,19,0,1,20,0,0,32669,1,2,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,37,-100,-100,0,1,20,0,1,21,0,0,32669,1,2,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,38,-100,-90,0,1,21,0,1,22,0,0,32669,1,3,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,39,-100,-80,0,1,22,0,1,23,0,0,32669,1,3,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,40,-100,-70,0,1,23,0,1,24,0,0,32669,1,3,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,41,-100,-60,0,1,24,0,1,25,0,0,32669,1,3,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,30,-100,-50,0,1,25,0,1,26,0,0,32669,1,4,0,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,31,-100,-40,0,1,26,0,1,27,0,0,32669,1,4,1,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,32,-100,-30,0,1,27,0,1,28,0,0,32669,1,4,2,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,33,-100,-20,0,1,28,0,1,29,0,0,32669,1,4,3,ON
0,0,-0.927149,0.404,0,0,1,lappd_v1,ON,35,-100,-10,0,1,29,0,2,0,0,0,32669,1,5,0,ON
1,0,-0.144649,0.404,0,0,1,lappd_v1,ON,60,100,-300,0,0,0,0,2,1,0,0,32669,1,5,1,ON
1,0,-0.144649,0.404,0,0,1,lappd_v1,ON,61,100,-290,0,0,1,0,2,2,0,0,32669,1,5,2,ON
1,0,-0.144649,0.404,0,0,1,lappd_v1,ON,62,100,-280,0,0,2,0,2,3,0,0,32669,1,5,3,ON
